"Enabled","Активен"
"Disabled","Неактивен"
"Newsletter Users Groups","Группы подписчиков"
"Thank you for your subscription","Спасибо большое за подписку"
"Item does not exist","Обьект не существует"
"Group was successfully created/edited","Группа была успешно создана/отредактирована"
"Unable to find item to save","Обьект не найден"
"Item was successfully deleted","Группа была удалена"
"Please select item(s)","Пожалуйста выделите елементы"
"Newsletter Groups","Группы подписчиков"
"Add Group","Добавить группу"
"Title","Название"
"Creation Time","Время создания"
"Action","Действие"
"Edit","Отредактировать"
"Are you sure?","Вы уверенны?"
"Delete","Удалить"
"Save Item","Сохранить"
"Delete Item","Удалить"
"Edit Item '%s'","Редактирование '%s'"
"Add Item","Добавить"
"Item Information","Информация"
"Group Information","Информация о группе"
"Subscribers in Group","Подписчиков в группе"
"Add Subscribers to Group","Добавить подписчиков в группу"
"Visibility on Frontend","Показывать на сайте"
"Add Subscribers emails","Добавить адресса подписчиков"
"Template for Subscribers Group","Темлейт создается для группы:"
"Selected Subscribers will be deleted from Group after save","Выбранные подписчики будут удалены из группы после сохранения"
